Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Strokes,[],Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swimming,2022-10-11 06:04:35,false,"Pool Swimming","1,000","247","00:27:47","142","181","3.3","0","0","2:26","1:54","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","637","105","26","0","0:00","0.0","0:00","No","00:06.68.4","6","0.0","00:24:17","00:27:53","--","--"
Pool Swimming,2022-10-06 06:04:12,false,"Pool Swimming","800","192","00:23:25","155","178","3.4","0","0","2:20","1:54","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","489","100","26","0","0:00","0.0","0:00","No","00:52.32.7","6","0.0","00:18:38","00:23:31","--","--"
Pool Swimming,2022-10-04 06:02:59,false,"Pool Swimming","800","191","00:22:57","136","163","2.7","0","0","2:23","1:57","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","485","102","25","0","0:00","0.0","0:00","No","00:07.35.9","6","0.0","00:19:05","00:23:06","--","--"
Pool Swimming,2022-10-03 06:03:17,false,"Pool Swimming","800","192","00:24:40","134","156","2.6","0","0","2:25","1:58","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","488","103","25","0","0:00","0.0","0:00","No","00:37.55.3","6","0.0","00:19:17","00:24:46","--","--"
Pool Swimming,2022-09-28 06:03:19,false,"Pool Swimming","900","218","00:23:01","145","172","3.1","0","0","2:08","0:31","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","486","91","25","0","0:00","0.0","0:00","No","00:05.10.5","6","0.0","00:19:12","00:23:08","--","--"
Pool Swimming,2022-09-27 06:02:47,false,"Pool Swimming","950","229","00:28:00","147","172","3.3","0","0","2:10","0:25","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","540","93","26","0","0:00","0.0","0:00","No","00:47.18.1","8","0.0","00:20:36","00:28:04","--","--"
Pool Swimming,2022-09-23 08:33:34,false,"Pool Swimming","1,650","399","00:43:13","152","172","3.9","0","0","2:12","0:40","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","945","95","26","0","0:00","0.0","0:00","No","00:10.50.5","8","0.0","00:36:22","00:43:19","--","--"
Pool Swimming,2022-09-20 06:05:00,false,"Pool Swimming","950","229","00:26:39","143","170","3.1","0","0","2:12","0:32","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","553","95","26","0","0:00","0.0","0:00","No","00:07.05.4","8","0.0","00:20:57","00:26:46","--","--"
Pool Swimming,2022-09-19 06:03:59,false,"Pool Swimming","900","217","00:22:59","140","171","2.9","0","0","2:08","0:46","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","505","92","26","0","0:00","0.0","0:00","No","00:13.16.8","6","0.0","00:19:13","00:23:05","--","--"
Pool Swimming,2022-09-18 08:42:00,false,"Pool Swimming","1,100","263","00:32:32","143","175","3.3","0","0","2:25","1:59","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","681","104","26","0","0:00","0.0","0:00","No","00:03.98.4","8","0.0","00:26:39","00:32:38","--","--"
Pool Swimming,2022-09-13 06:03:19,false,"Pool Swimming","1,150","278","00:27:38","148","178","3.4","0","0","2:07","0:26","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","630","91","26","0","0:00","0.0","0:00","No","00:07.00.6","6","0.0","00:24:24","00:27:43","--","--"
Pool Swimming,2022-09-08 06:03:21,false,"Pool Swimming","900","216","00:25:18","153","187","3.5","0","0","2:22","1:59","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","552","102","26","0","0:00","0.0","0:00","No","01:56.50.1","5","0.0","00:21:17","00:25:26","--","--"
Pool Swimming,2022-09-01 06:04:09,false,"Pool Swimming","1,000","239","00:26:40","144","168","3.2","0","0","2:27","2:00","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","630","105","26","0","0:00","0.0","0:00","No","00:04.23.9","4","0.0","00:24:32","00:26:46","--","--"
Pool Swimming,2022-08-30 06:03:24,false,"Pool Swimming","1,000","240","00:25:59","143","168","3.2","0","0","2:25","2:03","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","616","104","25","0","0:00","0.0","0:00","No","01:45.08.2","3","0.0","00:24:14","00:26:08","--","--"
Pool Swimming,2022-08-28 14:18:46,false,"Pool Swimming","950","228","00:33:02","154","187","3.8","0","0","2:13","0:53","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","561","96","27","0","0:00","0.0","0:00","No","02:05.48","8","0.0","00:21:00","00:33:08","--","--"
Pool Swimming,2022-08-25 06:04:06,false,"Pool Swimming","800","192","00:21:58","154","173","3.3","0","0","2:15","1:45","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","475","97","26","0","0:00","0.0","0:00","No","00:06.70.1","8","0.0","00:18:01","00:22:09","--","--"
Pool Swimming,2022-08-23 06:04:37,false,"Pool Swimming","1,200","292","00:26:33","140","169","3.2","0","0","2:05","0:27","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","635","89","25","0","0:00","0.0","0:00","No","00:04.97.3","4","0.0","00:24:56","00:26:41","--","--"
Pool Swimming,2022-08-19 06:04:16,false,"Pool Swimming","950","228","00:23:52","151","162","3.3","0","0","2:22","0:30","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","561","100","25","0","0:00","0.0","0:00","No","00:09.66.8","4","0.0","00:22:26","00:23:56","--","--"
Pool Swimming,2022-08-16 06:04:01,false,"Pool Swimming","1,050","253","00:26:35","151","185","3.5","0","0","2:18","0:29","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","635","99","26","0","0:00","0.0","0:00","No","00:03.34.8","6","0.0","00:24:06","00:26:42","--","--"
Pool Swimming,2022-08-11 06:05:35,false,"Pool Swimming","800","192","00:22:19","149","171","3.2","0","0","2:21","1:51","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","486","101","26","0","0:00","0.0","0:00","No","00:10.69.2","6","0.0","00:18:52","00:22:27","--","--"
Pool Swimming,2022-08-09 06:03:52,false,"Pool Swimming","1,000","239","00:25:44","158","181","3.7","0","0","2:20","1:41","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","611","100","26","0","0:00","0.0","0:00","No","00:07.76.9","6","0.0","00:23:18","00:25:53","--","--"
Pool Swimming,2022-08-05 06:04:50,false,"Pool Swimming","700","168","00:20:09","156","181","3.4","0","0","2:08","1:45","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","396","92","27","0","0:00","0.0","0:00","No","00:05.38.2","12","0.0","00:14:56","00:20:14","--","--"
Pool Swimming,2022-08-03 06:04:15,false,"Pool Swimming","850","205","00:22:30","140","175","3.0","0","0","2:12","0:28","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","482","94","26","0","0:00","0.0","0:00","No","00:05.36.3","6","0.0","00:18:40","00:22:35","--","--"
Pool Swimming,2022-07-28 06:04:14,false,"Pool Swimming","800","192","00:20:58","149","169","3.2","0","0","2:22","1:55","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","486","102","26","0","0:00","0.0","0:00","No","00:27.36.1","4","0.0","00:19:00","00:21:06","--","--"
